titulo,autor,origen
recomendaciones de la academia iberoamericana de neurología pediátrica tomo 1,hugo arroyo,bidi
nuevo curso de ciencia política,gianfranco pasquino,bidi
sociología estudios sobre las formas de socialización,georg simmel,bidi
"enseñanza y aprendizaje en el siglo xxi metas, políticas educativas y currículo en seis países",fernando m. reimers,bidi
las competencias en la educación un balance,monique denyer,bidi
pasado y presente de los verbos leer y escribir,emilia ferreiro,bidi
la enseñanza de la ciencia un enfoque desde la historia y la filosofía de la ciencia,michael r. matthews,bidi
introducción a la biopolítica,thomas lemke,bidi
en busca de la calidad académica,catherine paradeise,bidi
las reglas del método sociológico y otros ensayos de metodología,émile durkheim,bidi
la comunicación y los medios metodologías de investigación cualitativa y cuantitativa,klaus bruhn jensen,bidi
psicología de la enseñanza y desarrollo de personas y comunidades,rosario ortega ruiz,bidi
"la lectura, otra revolución",maría teresa andruetto,bidi
la esencia del marketing,guillermo d\'andrea,bidi
el desafío de la innovación,luis dambra - roberto luchi,bidi
claves del retraso y del progreso en argentina,juan josé llach - martín lagos,bidi
conexión intergeneracyonal,alberto franichevich - eugenio a. marchiori,bidi
costos para competir,josé maría corrales - pedro josé frías,bidi
el desafío de cada día,guillermo fraile - paola delbosco,bidi
dar sentido a la empresa,marcelo paladino - paola delbosco,bidi
federales y unitarios en el siglo xxi,juan josé llach,bidi
fashion management,guillermo fraile - carolina curat - natalia giacani,bidi
cultura innovadora,"roces, josé luis",bidi
innovación latina,guillermo d\'andrea,bidi
gestión de riesgo,lorenzo preve,bidi
la información como soporte de la dirección i,josé maría corrales - pedro josé farias - ivana lobo,bidi
la información como soporte de la dirección ii,josé maría corrales - pedro josé farias - ivana lobo,bidi
negociaciones complejas,roberto luchi - alejandro zamprile,bidi
finanzas para directivos,gabriel luis noussan - pablo fernández,bidi
punto de partida,"chorne massau, fernando",bidi
pymes constructoras,"orrego, sebastián; pezzati, emilia",bidi
administración de ventas,,bidi
administración de ventas,david jobber y geoffrey lancaster,bidi
administracion de recursos humanos,gary dessler,bidi
comportamiento organizacional,stephen p. robbins,bidi
análisis de estados financieros,francisco javier calleja bernal,bidi
administración 13ra edición,robbins elliot,bidi
"administración gestión organizacional, enfoques y proceso",munch,bidi
administración de empresas,,bidi
administración estratégica y política de negocios,thomas l. wheelen,bidi
contabilidad de costos un enfoque gerencial,"charles horngren, srikant datar y madhav rajan",bidi
contabilidad de costos un enfoque gerencial,"charles horngren, srikant datar y madhav rajan",bidi
contabilidad administrativa,francisco javier calleja bernal,bidi
fundamentos de marketing,philip kotler,bidi
fundamentos de administración,stephen p. robbins,bidi
conceptos de administración estratégica,fred r. david,bidi
economía 12da edición,parkin,bidi
fundamentos de administración financiera décimotercera edición,"james c. van horne y john m. wachowicz, jr",bidi
economía principios e instrumentos,arthur o?sullivan y steven m. sheffrin,bidi
economía internacional,paul r. krugman,bidi
biología,scott freeman,bidi
anatomía y fisiología humana,elaine n. marieb,bidi
bioquímica,"christopher k. mathews, k. e. van holde y kevin g. ahern",bidi
introducción al comportamiento organizativo,stephen p. robbins,bidi
introduccion al marketing,armastrong,bidi
macroeconomía,olivier blanchard,bidi
anatomía humana 9na edición,martini,bidi
microeconomia,pindyck,bidi
introducción a la administración de la organizaciones,césar a. bernal torres,bidi
investigación de mercados,naresh malhotra,bidi
física para cursos con enfoque por competencias,francis w. sears,bidi
física para ciencias e ingeniería 4ª edición,douglas giancoli,bidi
elementos de ingeniería de las reacciones químicas,fogler h scott,bidi
cuidados de enfermeria en salud mental,eby,bidi
enfermería medico quirúrgica,priscilla lemone y karen burke,bidi
farmacología para enfermería un enfoque fisiopatológico,"michael patrick adams, leland norman holland y paula manuel bostwick",bidi
enfermería medicoquirúrgica,pricislla lemone y karen burke,bidi
el mundo de la célula,wayne m. becker,bidi
brock biología de los microorganismos,michael t. madigan,bidi
la ciencia de los alimentos en la práctica,salvador badui dergal,bidi
física universitaria con física moderna 1,young,bidi
física universitaria con física moderna 2,young,bidi
química inorgánica,catherine e. housecroft,bidi
química general principios y aplicaciones modernas,ralph h. petrucci,bidi
habilidades para enfermeria cl inica,smith,bidi
habilidades para enfermeria cl inica,smith,bidi
fisiologia humana,marieb / keller,bidi
introducción a la fisicoquímica termodinámica,thomas engel y philip reid,bidi
fundamentos de biología,scott freeman,bidi
química,theodore l. brown,bidi
química de brown para cursos con efoque por competencias,theodore l. brown,bidi
química orgánica,leroy g. wade,bidi
química orgánica,leroy g. wade,bidi
química física,thomas engel y philip reid,bidi
autonomía y dependencia académica,fernanda beigel,bidi
metodologías cualitativas modelos y procedimientos de análisis,ana lía kornblit,bidi
¿cómo trabajar con tic en el aula? una guía para la acción pedagógica,mariano ávalos,bidi
