titulo,autor,origen
investigar en educación,phil wood,bidi
identidad profesional docente,isabel cantón,bidi
qué le está pasando a la universidad,frank furedi,bidi
la libertad académica del estudiante en contextos de educación superior,bruce macfarlane,bidi
equipos docentes innovadores,mercedes blanchard,bidi
enseñanza en pequeños grupos en educación superior,kate exley,bidi
la escritura académica,maria inês côrte vitória,bidi
humanismo pedagógico de pedro poveda,presentación gallegos,bidi
catedráticos de universidad,linda evans,bidi
"innovar en educación sí, pero ¿cómo?",andré tricot,bidi
cartografía de la buena docencia universitaria,javier paricio,bidi
cuando dios era mujer,merlin stone,bidi
educar para la paz,nora rodríguez,bidi
el resurgir de antígona,helen morales,bidi
la educación en ciudadanía como construcción de subjetividad política,silvia coicaud,bidi
más didáctica,jorge steiman,bidi
pensando la educación física como área de conocimiento,adrián ferreira,bidi
años de aprendizaje,paola piacenza,bidi
para una didáctica con perspectiva de género,ana maría bach,bidi
¿para qué profesores?,georges gusdorf,bidi
en busca de los desaparecidos,adam rosenblatt,bidi
"retórica, filosofía y educación de la antigüedad al medioevo",marta alesso,bidi
elogio del profesor,jorge larrosa bondia,bidi
las prácticas de enseñanza,jorge steiman,bidi
desobedecer el lenguaje,carlos skliar,bidi
aprendiendo a ser sociólogxs,cecilia carrera,bidi
los docentes universitarios en búsqueda de su formación pedagógica,claudia finkelstein,bidi
volver a estudiar,federico martín gonzález,bidi
discursos audiovisuales animados e interactivos,david cuenca orozco,bidi
para leer de los medios a las mediaciones,jerónimo repoll,bidi
para leer los videojuegos,david cuenca,bidi
para leer la apropiación digital,delia crovi druetta,bidi
para leer el hacktivismo y la cuestión de la técnica,stefanía acevedo,bidi
la imaginación metodológica,dorismilda flores-márquez,bidi
para leer el gif,mariángela abrbuzzese,bidi
periodismo y derechos humanos,darwin franco,bidi
identidad y virtualidad,gabriel pérez salazar,bidi
alfabetismos mediáticos participativos,josé manuel corona rodríguez,bidi
tecnologías de esperanza,darwin franco migues,bidi
una coartada metodológica,guillermo orozco,bidi
big data,viktor mayer-schönberger,bidi
alan turing,brian jack copeland,bidi
inteligencia artificial,margaret a. boden,bidi
audacias femeninas,carlos garcía gual,bidi
50 miradas a la educación,josé ángel lópez herrerías,bidi
¿te va a sustituir un algoritmo?,lucía velasco,bidi
"pensar la educación, hacer investigación",josé darío herrera,bidi
currículo y prácticas pedagógicas,cristhian james diaz meza,bidi
periscopio universitario,fernando vásquez rodríguez,bidi
investigación y problematización,guillermo londoño orozco,bidi
cibercultura y prácticas de los profesores,diego fernando barragán giraldo,bidi
el quehacer docente,fernando vásquez rodríguez,bidi
resignificar la educación,jorge daniel vásquez,bidi
desaparecieron y asesinaron nuestros muchachos,wilson herney mellizo rojas,bidi
¿qué cambia la educación?,diego hernán arias,bidi
"cartografías de la universidad en lo local, lo regional y lo global",jorge eliécer martínez posada,bidi
reflexiones para una epistemología del saber pedagógico,carmen amalia camacho,bidi
spinoza educación para el cambio,germán ulises bula caraballo,bidi
"subjetividad, biopolítica y educación",jorge eliécer martínez posada,bidi
manual de investigación en educación,patricia judith moreno,bidi
formación y evaluación por competencias en educación superior,guillermo londoño orozco,bidi
prácticas pedagógicas con tecnologías de la información y la comunicación en educación superior,jairo alberto galindo c,bidi
didácticas en la universidad,rosa maría cifuentes gil,bidi
construyendo investigación,liliana garzón forero,bidi
educación en derechos humanos,marieta quintero mejía,bidi
el concepto de función y la teoría de situaciones,miryan trujillo cedeño,bidi
investigación formativa en los estudios de información documental,johann pirela morillo,bidi
evaluación curricular,carmen amelia camacho sanabria,bidi
didácticas específicas en la docencia universitaria,guillermo londoño orozco,bidi
prácticas docentes universitarias,guillermo londoño orozco,bidi
formación integral universitaria,diego fernando barragán giraldo,bidi
didácticas emergentes,javier ricardo salcedo casallas,bidi
dimensiones y configuraciones en la relación educación y sociedad,carmen amalia camacho sanabria,bidi
competencias docentes para la educación superior en la sociedad del conocimiento de américa latina,wilson acosta valdeleón,bidi
"feminidades, sexualidades y colores de piel",fernando urrea giraldo,bidi
docencia universitaria,guillermo londoño orozco,bidi
cosechando investigadores,liliana garzón forero,bidi
"universidad, lasallismo y proyecto de vida",óscar augusto elizalde prada,bidi
la educación superior en perspectiva lasallista,fabio orlando neira sánchez,bidi
experiencias docentes universitarias,carlos alberto escobar otero,bidi
cómo leer y escribir en la universidad,mauricio aguirre,bidi
enfoque práctico de la teoría de robots,enrique luis arnáez braschi,bidi
semiótica del consumo,eduardo yalán dongo,bidi
el poder de educar,daniel dreifuss escárate,bidi
"etnicidad, acción colectiva y resistencia",luis carlos castillo g,bidi
"etnicidad, resistencias y políticas públicas",héctor alonso moreno parra,bidi
derecho a la vida,angelo papacchini,bidi
iniciarse en la investigación académica,cristina alayza,bidi
la educación desde el psicoanalisis,marcos gheiler,bidi
metodologías para implantar la estrategia diseño organizacional de la empresa,laura huamán pulgar-vidal,bidi
abrahams',"peter h. abrahams, jonathan d. spratt, marios loukas ,albert-neels van schoor",bidi
introducción a la biología celular,bruce alberts,bidi
ecografía transvaginal en la evaluación de los tumores de ovario,juan luis alcázar zambrano,bidi
cirugía de la obesidad,"aec asociación española de cirujanos, seco sociedad española de cirugía de la obesidad,",bidi
ecografía en patología uterina y endometrial,juan luis alcázar zambrano,bidi
cirugía aec,"aec asociación española de cirujanos,cpascual parrilla paricio,ceduardo garcía-granero ximénezc,elena martín pérezc,salvador morales conde, salvador navarro soto, eduardo maría targarona soler",bidi
"ecografía en reproducción, endometriosis, dolor pélvico y suelo pélvico",juan luis alcázar zambrano,bidi
enfermedad de alzheimer y otras demencias,"román alberca serrano, secundino lópez-pousa",bidi
manual de lactancia materna,aep asociación española de pediatría,bidi
nefrología pediátrica,"aenp asociación española de nefrología pediátrica, montserrat antón gamero, luis miguel rodríguez fernández",bidi
cruz tratado de pediatría 2 tomos,"aep asociación española de pediatría, manuel moro serrano, serafín málaga guerrero, luis madero lópez",bidi
sistema estomatognático,actis,bidi
el abc en medicina paliativa,silvia r allende pérez;  emma l. verástegui avilés,bidi
morfología humana,"alberto manuel ángeles castellanos, maría isabel garcía peláez, maría guadalupe sánchez bringas",bidi
medicina de laboratorio,"elio gulletta, italo antonozzi",bidi
ecografía en dermatología y dermoestética,"fernando alfageme roldán, gaston roustan gullón",bidi
procedimientos clínicos para la evaluación de la visión binocular,"beatriz antona peñalba, ana rosa barrio de santos, enrique gonzález díaz-obregón, m. isabel sánchez pérez",bidi
obstetricia y ginecología,juan luis alcázar zambrano,bidi
trastornos del neurodesarrollo,"alfonso amado puentes, maría eugenia russi delfraro",bidi
competencia en demencia,luis carlos álvaro gonzález,bidi
ecografía en la paciente con cáncer ginecológico,juan luis alcázar zambrano,bidi
oclusión y diagnóstico en rehabilitación oral,bechelli | alonso | albertini,bidi
hepatología para pediatras,"slaghnp sociedad latinoamericana de gastroenterología, hepatología y nutrición pediátrica, fernando álvarez, mirta ciocca, margarita ramonet",bidi
ángel interpretación clínica del laboratorio,casas gómez; gómez gutiérrez,bidi
dsm-5 manual diagnóstico y estadístico de los trastornos mentales,american psychiatric association,bidi
manual de cuidados intensivos para enfermería,"rocío aragonés manzanares,maría dolores rincón ferrari",bidi
cuidado intensivos atención integral del paciente crítico,"rocío aragonés manzanares, juan pablo de rojas román",bidi
urgencias y cuidados críticos cardiovasculares,"rocío aragonés manzanares, juan pablo de rojas román, manuel delgado amaya",bidi
dsm-5 manual de diagnóstico diferencial,michael b first; american psychiatric association,bidi
urgencias y cuidados intensivos en el paciente oncológico,"rocío aragonés manzanares, juan pablo de rojas román",bidi
urgencias y cuidados críticos en reumatología,"rocío aragonés manzanares, francisco gabriel jiménez núñez",bidi
guía de bolsillo del dsm-5,"abraham m. nussbaum, american psychiatric association",bidi
dsm-5 guía de uso,"american psychiatric association, donald w. black, jon e. grant",bidi
dsm-5 casos clínicos,"john w. barnhill, american psychiatric association",bidi
preguntas de autoevaluación del dsm-5,philip r muskin; american psychiatric association,bidi
dsm-5 guía de estudio,american psychiatric association,bidi
embriología humana y biología del desarrollo,"sebastián manuel arteaga martínez, maría isabel garcía peláez",bidi
neuropsicología del desarrollo,"marisa arnedo montoro, armando montes lozano",bidi
técnicas y procedimientos para enfermería en urgencias pediátricas,"maría isabel ares ares, santiago mintegui y otros",bidi
coordinación asistencial extrahospitalaria en cardiología,"ramón arroyo espliguero, maría del carmen viana llamas",bidi
alimentos funcionales y salud en la etapa infantil y juvenil,"javier aranceta bartrina, ángel gil hernández",bidi
alimentación y derecho aspectos legales y nutricionales de la alimentación,"javier aranceta bartrina, nuria amarilla mateu",bidi
alimentación y trabajo,"javier aranceta bartrina, lluís serra majem",bidi
psicología social aplicada,"ana victoria arias orduña, josé francisco morales domínguez, encarnación nouvilas pallejà, josé luís martínez rubio",bidi
hernando nefrología clínica,manuel arias rodríguez y otros,bidi
neuropsicología infantil,marisa arnedo montoro y otros,bidi
"semiología médica fisiopatología, semiotecnia y propedéutica enseñanza-aprendizaje centrada en la persona","horacio argente, marcelo e. álvarez",bidi
el diagnóstico clínico en neumología pediátrica,magnolia arango loboguerrero,bidi
cardiología pediátrica,"fause attie,j uan calderón colmenero, carlos zabal cerdeira, alfonso buendía hernández",bidi
intervencionismo ecoguiado en la cadera y la pelvis,"ramon balius matas, javier de la fuente ortiz de zárate",bidi
fibromialgia,carlos luis ayán pérez,bidi
gestión dietética del sobrepeso en la oficina de farmacia,"eugenia aunión lavarías, susana monereo megías",bidi
lesiones musculares en el deporte,"ramon balius matas,carles pedret carballido",bidi
abdomen agudo,"francisco azzato, hipólito jorge waisman",bidi
el paciente en la unidad coronaria,"carlos m. barrero,alfredo c. piombo",bidi
atlas de parasitología humana,"lawrence ash,thomas orihel",bidi
barrancos mooney operatoria dental integración clínica,patricio j. barrancos mooney,bidi
neurodesarrollo en neonatología,graciela basso,bidi
química física,"peter atkins, julio de paula",bidi
atlas de anatomía de la pelvis y cirugía ginecológica,"michael baggish, mickey karram",bidi
investigación en cirugía ortopédica,"mohit bhandari, ernesto guerra farfán, joan bagó granell",bidi
impacto de la infertilidad y de las patologías endocrinas de base en la descendencia,j. bellver;j. peñarrubia; b. acevedo,bidi
urgencias pediátricas,"javier benito fernández, santiago mintegi raso",bidi
casos prácticos de optometría,ricardo bernárdez vilaboa,bidi
envejecimiento y sociedad una perspectiva internacional,maría teresa bazo,bidi
gerontología educativa,lourdes bermejo garcía,bidi
genética,"césar benito jiménez, francisco javier espino nuño",bidi
trastornos esquizoafectivos,antonio benabarre hernández,bidi
tomografía computarizada cardíaca,gorka bastarrika alemañ,bidi
psicología del desarrollo,berger k,bidi
best &taylor bases fisiológicas de la práctica médica,"mario a. dvorkin ,  daniel p. cardinali , roberto iermoli",bidi
rehabilitación posendodóntica base racional y consideraciones estéticas,alejandro bertoldi hepburn,bidi
endometriosis,"héctor hugo bustos lópez,j osé gerardo garza leal",bidi
"ultrasonidos en obstetricia, reproducción y ginecología","fernando m. bonilla musoles, francisco raga, luiz eduardo machado, francisco bonilla bartret",bidi
guía topográfica del cuerpo humano,andrew biel,bidi
guía del cuerpo humano en movimiento,andrew biel,bidi
farmacología veterinaria,luis miguel botana lópez,bidi
convivir con el alcoholismo,eduardo brik,bidi
fisioterapia en neurología,marta bisbe gutiérrez / carmen santoyo medina / vicenç tomàs segarra i,bidi
instrumentación quirúrgica,mónica broto; stella delor,bidi
instrumentación quirúrgica,"mónica graciela broto,stella maría delor",bidi
instrumentación quirúrgica,"mónica graciela broto,stella maría delor",bidi
odontología pediátrica,escobar | bordoni | castillo mercado,bidi
la representación de las emociones en la dramaterapia,"lili brik levy, sara cornejo",bidi
ecocardiografía,fernando cabrera bueno,bidi
guía esencial de ecocardiografía,fernando cabrera bueno,bidi
"método pilates durante el embarazo, el parto y el posparto","juan bosco calvo, laura cabral",bidi
fisiología humana,francisco javier calderón montero,bidi
atlas de cirugía del aparato digestivo tomo 1,"john l. cameron,c orinne sandone",bidi
manual de medicina de familia y comunitaria,antonio cabrera de león,bidi
pilates terapéutico para la rehabilitación del aparato locomotor,juan bosco calvo,bidi
fallo ovárico prematuro,"justo callejo olmos, buenaventura coroleu lletget",bidi
atlas de cirugía del aparato digestivo tomo 2,"john l. cameron, corinne sandone",bidi
electrocardiografía interpretación práctica del ecg,"fernando cabrera bueno,j uan josé gómez doblas",bidi
evolución histórica de la medicina,"alfredo buzzi,a rnaldo rodolfo doisenbant",bidi
"anatomía funcional estructura, función y palpación para terapeutas manuales",christy cael,bidi
el razonamiento clínico en la era de la medicina digital,"esther mahuina campos, dania nimbe lima, fabián fernández, alejandro alayola",bidi
competencias digitales básicas para el médico general,"esther mahuina campos, dania nimbe lima, fabián fernández, alejandro alayola",bidi
control y aprendizaje motor,roberto cano de la cuerda,bidi
nuevas tecnologías en neurorrehabilitación,roberto cano de la cuerda,bidi
"percepción visual psicofísica, mecanismos y modelos",pascual capella perea,bidi
neurología para pediatras enfoque y manejo práctico,jaume campistol plana,bidi
neurorrehabilitación,"roberto cano de la cuerda,susana collado vázquez",bidi
neurociencia aplicada sus fundamentos,daniel p cardinali,bidi
atlas de electroencefalografía en la epilepsia,ricardo óscar cersósimo,bidi
tratamiento de las epilepsias,"natalio fejerman, roberto h. caraballo",bidi
epilepsia en pediatría manejo práctico,roberto h caraballo,bidi
asma enfoque integral y nuevas tendencias,luis carballo,bidi
manual de sexología clínica,camil castelo branco,bidi
enfermedades autoinmunes sistémicas,ricard cervera segura,bidi
obstetricia para matronas guía práctica,sergio castán mateo,bidi
envejecimiento de la piel y las mucosas fundamentos clínicos y enfoque integral,aurora guerra,bidi
manejo del riesgo obstétrico,sergio castán mateo,bidi
"trastornos bipolares conceptos clínicos, neurobiológicos y terapéuticos","hagop akiskal, marcelo cetkovichbakmas, gerardo garcía bonetto, sergio strejilevich, gustavo vázquez",bidi
el diagnóstico en clínica estomatológica,eduardo luis ceccotti,bidi
manual de procedimientos en neonatología,josé maría ceriani cernadas,bidi
convivir con el glaucoma,"maría alejandra carrasco, javier casiraghi, curt hartleben",bidi
neonatología práctica,josé maría ceriani cernadas,bidi
"alergia abordaje clínico, diagnóstico y tratamiento",ricardo cardona villa,bidi
trauma de tórax visión integral para su diagnóstico y tratamiento,álvaro casallas gómez,bidi
infecciones congénitas y perinatales,maría dolores correa beltrán,bidi
neuroanatomía clínica esencial,thomas h. champney,bidi
medicina de urgencias,josé javier cota medina,bidi
cronobiología bases y aplicaciones en la nutrición,etienne challet,bidi
el cribado durante la menopausia,miguel ángel checa vizcaino,bidi
chronobiologie,etienne challet,bidi
manual de baja visión y rehabilitación visual,maría begoña coco martín,bidi
neuroinmunología clínica,jorge correale,bidi
cirugía de la córnea,pablo chiaradía,bidi
enfermedades neurológicas y embarazo,"jorge correale, nora fernández liguori",bidi
enfermedades de la glándula mamaria manejo integral de la patología benigna y maligna,gustavo cortese,bidi
introducción a la oftalmología,pablo chiaradía,bidi
medicina basada en la evidencia,carlos alberto cuello garcía; giordano pérez gaxiola,bidi
"enfermedad renal crónica temprana prevención, diagnóstico y tratamiento","alfonso martín cueto manzano, laura cortés sanabria, héctor ramón martínez ramírez, enrique rojas campos",bidi
hospitalización psiquiátrica breve,jorge miguel cuevas esteban,bidi
psicología del lenguaje,fernando cuetos vega,bidi
"propedéutica, semiología y terapéutica en urgencias",josé javier cota medina,bidi
tratado de andrología y medicina sexual,natalio cruz,bidi
neurociencia del lenguaje,ildefonso hernández-aguado; blanca lumbreras lacarra,bidi
biología celular conceptos esenciales,joaquín de juan herrero,bidi
lesiones cervicales no cariosas la lesión dental del futuro,guillermo h. rossi,bidi
curtis biología,alicia massarini,bidi
invitación a la biología en contexto social,"helena curtis (†),n. sue barnes,adriana schnek,alicia massarini",bidi
"toxicología clínica fundamentos para la prevención, diagnóstico y tratamiento de las intoxicaciones",carlos f. damin,bidi
fisiología humana,bryan derrickson,bidi
intervencionismo ecoguiado en el hombro,"ramon balius matas, javier de la fuente ortiz de zárate",bidi
cirugía ortopédica y traumatología,alberto damian delgado martínez,bidi
conceptos esenciales en cirugía ortopédica y tramatología,alberto damian delgado martínez,bidi
proyecciones radiológicas,noelia de la fuente tabuyo; raúl alejandro ajo hoyos,bidi
asesoramiento genético en la práctica médica,"alfonso delgado rubio, enrique galán gómez, encarna guillén navarro, pablo d. lapunzina badía, victor b. penchaszadeh, carlos maría romeo casabona, aitziber emaldi cirión",bidi
convivir con el reflujo gastroesofágico,manuel díaz rubio,bidi
cerebro y lenguaje sintomatología neurolingüística,"faustino diéguez vide, jordi peña casanova",bidi
abc de la ecografía abdominal,semg sociedad española de médicos generales y de familia,bidi
convivir con la hepatitis,maría josé devesa medina,bidi
fundamentos de psicología,maría luisa delgado losada,bidi
conductas en medicina interna,antonio raúl de los santos,bidi
farmacología y terapéutica en odontología,maría teresa espinosa meléndez,bidi
guía esencial de rehabilitación infantil,juan espinosa jorge y otros,bidi
fundamentos de farmacología para fisioterapeutas,"màrius duran hortolà,concepció mestres miralles,maría rosa nogues llort",bidi
reumatología clínica,juan carlos duró pujol,bidi
manejo avanzado del paciente politraumatizado,"patricia duque gonzález, patricia piñeiro otero, jesús alberto varela cabo",bidi
fotodermatología,juan escalas taberner,bidi
trastornos del neurodesarrollo trastornos motores,"jesús eiris puñal, manuel antonio fernández fernández",bidi
lesión medular enfoque multidisciplinario,ana esclarín de ruz,bidi
neurocognición del lenguaje,"alberto domínguez martínez,josé antonio león cascón,mª ángeles alonso rodríguez",bidi
introducción a la psicopatología,"iñaki eguíluz uruchurtu, rafael segarra echebarría",bidi
histeroscopia diagnóstica y terapéutica,"jorge e. dotto, miguel ángel bigozzi (h.)",bidi
dermatología para el grado de medicina,agustín españa alonso,bidi
guía esencial de metodología en ventilación mecánica no invasiva,antonio esquinas rodríguez,bidi
fisioterapia en neonatología,"francisco javier fernández rego,galaad torró ferrero",bidi
bioquímica conceptos esenciales,elena feduchi canosa y otros,bidi
textbook of urogenital prosthetic surgery,"essm - european society for sexual medicine,john mulcahy,ignacio moncada iribarren,enrique lledó garcía,juan ignacio martínez salamanca",bidi
rehabilitación de las enfermedades neuromusculares en la infancia,anna febrer rotger,bidi
trastornos motores crónicos en niños y adolescentes,"natalio fejerman, hugo a. arroyo",bidi
neurología pediátrica,natalio fejerman (†) / emilio fernández álvarez,bidi
vivir con epilepsia,"natalio fejerman, roberto h. caraballo",bidi
introducción a la inmunología humana,leonardo fainboim y  jorge geffner,bidi
"epilepsias focales benignas en lactantes, niños y adolescentes","natalio fejerman, roberto h. caraballo",bidi
histología y embriología humanas,aldo eynard; mirta valentich; roberto rovasio,bidi
hemograma manual de interpretación,"renato failace,flavo beno fernandes",bidi
clínica pediátrica guía para estudiantes y residentes,"guillermo ferreira padilla,teresa ferrández antón",bidi
manual de pilates aplicado al embarazo,"mayte fernández arranz, roberto lambruschini, julita fernández arranz",bidi
medicina estética y antienvejecimiento,jesús fernández tresguerres hernández,bidi
manual de urgencias en cirugía oral y maxilofacial,"manuel fernández domínguez,josé luis del castillo pardo de vera",bidi
trastornos de la articulación temporomandibular,"césar fernández de las peñas, juan mesa- jiménez",bidi
trastornos del neurodesarrollo,"lberto fernández jaén, daniel martín fernández mayoralas, ana laura fernández perrone",bidi
recuperación posparto,"mayte fernández arranz, roberto lambruschini, julita fernández arranz",bidi
radiología básica,"formación en radiología (fora), josé luis del cura rodríguez, jesús dámaso aquerreta beola, francisco sendra portero, josé carreira villamor",bidi
guía de supervivencia en urgencias de pediatría,david ferri rufete,bidi
accidentes y enfermedades en el medio acuático guía médica y de primeros auxilios,"salvador fojón, jesús herranz gonzález botas, gonzalo montoto veira",bidi
las cefaleas nuevos enfoques para un viejo problema,maria de lourdes figuerola,bidi
embriología humana,vladimir flores,bidi
entrenamiento personal guía para el desarrollo profesional,"óscar garcía garcía, virginia serrano gómez",bidi
manual de psiquiatría perinatal,"luisa garcia-esteve, manuel valdés miyar",bidi
ecografía cardiovascular,"gonzalo garcía de casasola sánchez, juan torres macho",bidi
enferpedia,"sergio galarreta aperte, carlos martín gracia",bidi
medicina estética facial rejuvenecimiento no quirúrgico,jorge garcía garcía,bidi
terapéutica médica en urgencias,"daniel garcía gil, juan francisco benítez macías, maría belén domínguez fuentes, josé mensa pueyo",bidi
diagnóstico y tratamiento de las metástasis óseas,"antonio fraguas i castany, federico portabella blavia, joan minguell monart, ernesto guerra farfán",bidi
enfermería de salud mental y psiquiátrica valoración y cuidados,"joana fornés vives, maría montserrat sánchez ortuño",bidi
manual de patología médica y embarazo,"m dolores garcía de lucas, javier de la torre lima, m  dolores martín escalante, julián olalla sierra",bidi
bases teóricas y fundamentos de la fisioterapia,tomás gallego izquierdo,bidi
convivir con esclerosis múltiple,"jorge correale,orlando garcea",bidi
evolución,milton gallardo narcisi,bidi
cirugía endoscópica en ginecología,"héctor hugo bustos lópez,josé gerardo garza leal",bidi
"atlas en color y texto de histología, 6a ed","james hiatt, lesli gartner",bidi
tratado de nutrición tomo 1 bases fisiológicas y bioquímicas de la nutrición,ángel gil hernández,bidi
tratado de nutrición tomo 2 bases moleculares de la nutrición,ángel gil hernández,bidi
tratado de nutrición tomo 3 composición y calidad nutritiva de los alimentos,ángel gil hernández,bidi
nutrición y salud conceptos esenciales,"ángel gil hernández,emilio martínez de victoria muñoz,maría dolores ruiz lópez",bidi
anatomía humana,"juan antonio garcía-porrero pérez, juan mario hurlé gonzález",bidi
500 anestesias,"carles garcía vitoria ,antonio guillén bañuelos,jose antonio de andrés ibáñez,maría del pilar argente navarro",bidi
tratado de nutrición,ángel gil hernández,bidi
libro blanco del pan,"ángel gil hernández,lluís serra majem",bidi
neuroanatomía humana,juan antonio garcía-porrero pérez / juan mario hurlé gonzález,bidi
el niño con problemas en la vía aérea superior,"hospital de pediatría s.a.m.i.c. prof. dr. juan p. garrahan, eduardo peszkin,eugenio pierro",bidi
"histología, embriología e ingeniería tisular bucodental",campos muñoz | gómez de ferraris,bidi
tratado de nutrición tomo 4 nutrición humana en el estado de salud,ángel gil hernández,bidi
tratado de nutrición tomo 5 nutrición y enfermedad,ángel gil hernández,bidi
prometheus anatomía,anne m. gilroy,bidi
prometheus atlas de anatomía 4ºed,anne m. gilroy,bidi
otología,luis maría gil-carcedo garcía,bidi
cirugía,mariano giménez,bidi
endodoncia técnica y fundamentos,"ilson josé soares, fernando goldberg",bidi
entrenamiento combinado de resistencia y fuerza,claudio a. gillone,bidi
dermatología en pediatría ambulatoria,maría laura gioseffi,bidi
manual de neumología,horacio giraldo estrada,bidi
epoc diagnóstico y tratamiento integral con énfasis en rehabilitación pulmonar,horacio giraldo estrada,bidi
afasia de la teoría a la práctica,"paola gonzález lázaro,beatriz gonzález ortuño",bidi
nutrición deportiva,maría marcela gonzález gross,bidi
acceso transabdominal al retroperitoneo,alberto gómez portilla,bidi
nutrición y cáncer,carlos a gonzález svatetz,bidi
el síndrome de agotamiento profesional en oncología,"manuel gonzález barón,maría antonia lacasta reverte,amalio ordóñez gallego",bidi
entrenamiento deportivo,josé maría gonzález ravé / carlos pablos abella / fernando navarro,bidi
medicina del viajero,"miguel de górgolas hernández-mora, josé manuel ramos rincón",bidi
cuidados paliativos recomendaciones terapéuticas para atención primaria,"joaquín gonzález otero, míldred stablé duharte",bidi
cirugía de la columna cervical,"rafael gonzález díaz,heiko koller",bidi
alteraciones del habla en la infancia,jorge nicolás gonzález,bidi
ginecología de gori,jorge gori y otros,bidi
psiquiatría clínica,"carlos gómez restrepo,martha isabel jordán quintero,guillermo hernández bayona,alejandro rojas urrego,hernán santacruz oleas,miguel uribe restrepo",bidi
medicina de urgencias,isauro ramón gutiérrez vázquez,bidi
anatomía esencial para la clínica,"santos guzmán lópez,rodrigo e. elizondo-omaña,pablo patricio zárate garza,guillermo jacobo baca",bidi
la fisiopatología como base fundamental del diagnóstico clínico,isauro ramón gutiérrez vázquez,bidi
manual de diagnóstico y terapéutica en pediatría,"julio guerrero-fernández,antonio javier cartón sánchez,ana coral barreda bonis,juan josé menéndez suso,josé antonio ruiz domínguez",bidi
anestesia y reanimación en cirugía torácica,manuel granell gil,bidi
medicina fetal,eduard gratacos,bidi
algoritmos terapéuticos en dermatología básica,"aurora guerra,elena gonzález-guerra",bidi
doppler en medicina fetal,eduard gratacos,bidi
convivir con los problemas capilares,aurora guerra,bidi
manual de dermocosmética el rostro,"aurora guerra,elena gonzález-guerra",bidi
endocrinología,"ben greenstein,diana wood",bidi
el trastorno por déficit de atención,luis óscar gratch,bidi
anatomía humana en casos clínicos,"santos guzmán lópez,rodrigo e. elizondo-omaña,pablo patricio zárate garza,guillermo jacobo baca",bidi
microbiología de los alimentos,miguel ángel hernández urzúa,bidi
medicina intensiva en el enfermo crítico,alberto hernández martínez,bidi
manual de epidemiología y salud pública para grados en ciencias de la salud,ildefonso hernández-aguado; blanca lumbreras lacarra,bidi
breviario de ventilación mecánica,manuel herrera carranza,bidi
situaciones clínicas en anestesia y en cuidados críticos,alberto hernández martínez,bidi
geriatría,maría herrera abián,bidi
manual de enfermedades autoinflamatorias,josé hernández rodríguez,bidi
tratamiento ortodóntico en el adulto,julia harfin,bidi
ortodoncia lingual procedimientos y aplicación clínica,julia harfin y augusto josé ureña rodríguez,bidi
ganglio centinela en mastología,"gerardo antonio hernández muñoz,alfredo carlos barros,rené a. del castillo",bidi
100 técnicas de movilización con impulso en osteopatía,"andoni jauregi crespo, eduardo falcó mola,a rantza urberuaga martínez",bidi
ecografía musculoesquelética,"íñigo iriarte posse, carles pedret carballido, ramon balius matas, luis cerezal pesquera",bidi
international trauma life support para proveedores de los servicios de emergencias médicas,"itls - international trauma life support,semes - sociedad española de medicina de urgencias y emergencias,john e.campbell,antonio requena lopez",bidi
trastornos del neurodesarrollo,"amaia hervás, natalia maraver garcía",bidi
endocrinología,antonino jara albarrán,bidi
biomecánica y bases neuromusculares de la actividad física y el deporte,izquierdo,bidi
manual de neurofisiología clínica,"jorge iriarte franco, julio artieda gonzález-granda",bidi
ecografía en las enfermedades del tiroides,"josé ignacio jaén díaz, julia sastre marcos, eugenio cerezo lópez",bidi
la voz patológica,maría cristina a. jackson-menaldi,bidi
urgencias en pediatría,"alberto e. iñón, juan vázquez estévez",bidi
enfermedades infecciosas en pediatría,david isaacs,bidi
la voz normal y patológica,maría cristina a jackson-menaldi,bidi
manual práctico para el niño con dificultades en el aprendizaje,"césar alberto jáuregui reina, carlos alberto mora ruiz, diana mayerly carrillo alarcón, nathalie oviedo mosquera, yuli lenny pabón rodríguez, ana juliana rodríguez osorio",bidi
histología básica texto y atlas,"l.c. junqueira, josé carneiro",bidi
órdenes de tratamiento en urgencias,francisco gabriel jiménez núñez,bidi
dermatología para pediatras,"esperanza jordá cuevas, josé maría martín hernández",bidi
fisiología del ejercicio fundamentos,"víctor l. katch, william d. mcardle, frank i. katch",bidi
nutriología médica,"martha kaufer-horwitz, ana bertha pérez-lizaur, pedro arroyo",bidi
problemas de química general,issa katime amashta,bidi
tratado de neurogastroenterología y motilidad digestiva,"gloria lacima vidal, jordi serra pueyo, miguel mínguez pérez, anna accarino garaventa",bidi
fisiología del deporte y el ejercicio,"w. larry kenney, jack h. wilmore, david l. costill",bidi
ecografía obstétrica,diego lerma puertas,bidi
medicina familiar y práctica ambulatoria 3ª ed,aa. vv,bidi
periodontología clínica e implantología odontológica,"jan lindhe, niklaus p. lang",bidi
neuropsicología humana,bryan kolb; ian q. whishaw,bidi
colección latarjet anatomía humana,michel latarjet y  ruiz liard,bidi
innovación y virtualidad en la formación universitaria en ciencias de la salud,"facultad de medicina - universidad nacional del nordeste, maría graciela fernández, patricia b. demuth mercado, gerardo o. larroza",bidi
neonatología,"tom lissauer, avroy a. fanaroff",bidi
umbral láctico,"josé lópez chicharro, davinia vicente campos, jorge cancino",bidi
