title,author,isbn,origen
Estrategias de muestreo.,Andrés Gutiérrez,9789587625875,bidi
Sostenibilidad de la agricultura campesina. Cómo evaluarla y promoverla 2ª Edición,Adriana Maria Chaparro Africano,9789587632255,bidi
Diseño de investigación cualitativa,"MAXWELL, Joseph A.",9788417835057,bidi
Estrategias de investigación cualitativa,"VASILACHIS DE GIALDINO, Irene (coord.)",9788417835279,bidi
Reinventar el vínculo educativo,"Tizio, Hebe",9788497843461,bidi
Estrategias de investigación cualitativa,"VASILACHIS DE GIALDINO, Irene (coord.)",9788497843737,bidi
La inquietud al servicio de la educación,Equipo Norai,9788497844413,bidi
Las fronteras de la pedagogía social,"CARIDE, José Antonio",9788497844826,bidi
Educar en la era planetaria,Édgar Morin,9788497845632,bidi
Los laberintos de la educación,"Cardús Ros, Salvador",9788497846899,bidi
Cómo se hace una tesis,"Eco, Umberto",9788497848602,bidi
La educación mediática y los profesionales de la comunicación,Alejandro Buitrago,9788416572014,bidi
"Movimientos sociales, resistencias y universidad","PISoR, grupo de investigación",9788417341718,bidi
El campo de la investigación cualitativa,"Denzin, Norman K.; Lincoln, Yvonna S",9788418193538,bidi
Paradigmas y perspectivas en disputa,"Denzin, Norman K.; Lincoln, Yvonna S",9788418193545,bidi
Las estrategias de investigación cualitativa,"Denzin, Norman K.; Lincoln, Yvonna S",9788418193552,bidi
Métodos de recolección y análisis de datos,"Denzin, Norman K.; Lincoln, Yvonna S",9788418193569,bidi
Cómo hacer tu primer trabajo de investigación,"Bell, Judith",9788418193637,bidi
"Discurso científico, político, jurídico y de resistencia","VASILACHIS DE GIALDINO, Irene (coord.)",9788497844192,bidi
"Transmediaciones: creatividad, innovación y estrategias en nuevas narrativas",Fernando Irigaray,9789874168047,bidi
La construcción del consenso: gestión de la comunicación gubernamental,"Luciano H. Elizalde, Damián Fernández Pedemonte, Mario Riorda",9789874168290,bidi
La vida digital,Ariel Gurevich,9789876012515,bidi
Plataformas mediáticas,José Luis Fernández,9789876012522,bidi
Guía para diseñar proyectos de tesis,"Eugenia Etkin, Alejandra Ravettino",9789876012553,bidi
Atlas de histología normal 8ª ED.,Mariano Di Fiore,9789500210331,bidi
Química biológica,Antonio Blanco ; Gustavo Blanco,9789500210348,bidi
Cirugía de Michans,Alejandro Oría ; Pedro Ferraina,9789500210379,bidi
Descripción,María Isabel Filinich,9789876783484,bidi
Recomendaciones de la Academia Iberoamericana de Neurología Pediátrica TOMO 2,Hugo Arroyo,9789873685682,bidi
Neurodesarrollo : un puente entre salud y educación,"Hugo Arroyo, Roberto Caraballo y Victor Ruggieri",9789873685705,bidi
Recomendaciones de la Academia Iberoamericana de Neurología Pediátrica TOMO 1,Hugo Arroyo,9789873685712,bidi
Nuevo curso de ciencia política,Gianfranco Pasquino,9786071623621,bidi
Sociología. Estudios sobre las formas de socialización,Georg Simmel,9786071626455,bidi
"Enseñanza y aprendizaje en el siglo XXI. Metas, políticas educativas y currículo en seis países",Fernando M. Reimers,9786071641601,bidi
Las competencias en la educación. Un balance,Monique Denyer,9786071642387,bidi
Pasado y presente de los verbos leer y escribir,Emilia Ferreiro,9786071646132,bidi
La enseñanza de la ciencia. Un enfoque desde la historia y la filosofía de la ciencia,Michael R. Matthews,9786071650900,bidi
Introducción a la biopolítica,Thomas Lemke,9786071652423,bidi
En busca de la calidad académica,Catherine Paradeise,9786071653444,bidi
Las reglas del método sociológico y otros ensayos de metodología,Émile Durkheim,9786071665379,bidi
La comunicación y los medios. Metodologías de investigación cualitativa y cuantitativa,Klaus Bruhn Jensen,9786071640901,bidi
Psicología de la enseñanza y desarrollo de personas y comunidades,Rosario Ortega Ruiz,9786071641731,bidi
"La lectura, otra revolución",María Teresa Andruetto,9786071643162,bidi
La Esencia del Marketing,Guillermo D\'Andrea,9789871826285,bidi
El Desafío de la innovación,Luis Dambra - Roberto Luchi,9789871826414,bidi
Claves del retraso y del progreso en Argentina,Juan José Llach - Martín Lagos,9789871826988,bidi
Conexión Intergeneracyonal,Alberto Franichevich - Eugenio A. Marchiori,9789871826995,bidi
Costos para Competir,José María Corrales - Pedro José Frías,9789873887000,bidi
El desafío de cada día,Guillermo Fraile - Paola Delbosco,9789873887017,bidi
Dar sentido a la Empresa,Marcelo Paladino - Paola Delbosco,9789873887031,bidi
Federales y Unitarios en el siglo XXI,Juan José Llach,9789873887048,bidi
Fashion Management,Guillermo Fraile - Carolina Curat - Natalia Giacani,9789873887055,bidi
Cultura Innovadora,"Roces, José Luis ",9789873887536,bidi
Innovación Latina,Guillermo D\'Andrea,9789871826261,bidi
Gestión de Riesgo,Lorenzo Preve,9789871826599,bidi
La información como soporte de la dirección I,José María Corrales - Pedro José Farias - Ivana Lobo,9789871826926,bidi
La información como soporte de la dirección II,José María Corrales - Pedro José Farias - Ivana Lobo,9789871826933,bidi
Negociaciones Complejas,Roberto Luchi - Alejandro Zamprile,9789871826940,bidi
Finanzas para directivos,Gabriel Luis Noussan - Pablo Fernández,9789871826957,bidi
Punto de partida,"Chorne Massau, Fernando",9789873887857,bidi
Pymes constructoras,"Orrego, Sebastián; Pezzati, Emilia",9789873887895,bidi
Administración de ventas,,9786073208536,bidi
Administración de ventas,David Jobber y Geoffrey Lancaster,9786073208536,bidi
Administracion de recursos humanos,Gary Dessler,9786073233156,bidi
Comportamiento organizacional,Stephen P. Robbins,9786073239868,bidi
Análisis de estados financieros,Francisco Javier Calleja Bernal,9786073240062,bidi
Administración 13ra edición,Robbins Elliot,9786073243360,bidi
"Administración. Gestión organizacional, enfoques y proceso",Munch,9786073244466,bidi
Administración de empresas,,9788415552055,bidi
Administración estratégica y política de negocios,Thomas L. Wheelen,9789586992565,bidi
Contabilidad de Costos: Un enfoque gerencial,"Charles Horngren, Srikant Datar y Madhav Rajan",9786073210263,bidi
Contabilidad de costos: Un enfoque gerencial,"Charles Horngren, Srikant Datar y Madhav Rajan",9786073210263,bidi
Contabilidad administrativa,Francisco Javier Calleja Bernal,9786073227544,bidi
Fundamentos de Marketing,Philip Kotler,9786073238465,bidi
Fundamentos de administración,Stephen P. Robbins,9786073239639,bidi
Conceptos de administración estratégica,Fred R. David,9786073240208,bidi
Economía. 12da edición,Parkin,9786073243384,bidi
Fundamentos de Administración Financiera. Décimotercera edición,"James C. Van Horne y John M. Wachowicz, Jr.",9786074429497,bidi
Economía. Principios e instrumentos,Arthur O?Sullivan y Steven M. Sheffrin,9788483226858,bidi
Economía internacional,Paul R. Krugman,9788490352977,bidi
Biología,Scott Freeman,9788478291243,bidi
Anatomía y fisiología humana,Elaine N. Marieb,9788483222188,bidi
