title,author,isbn,origen
Ingeniería del transporte: ,"Truyols Mateu, Sebastián",9788496477773,koha
Computer organization and design: ,"Patterson, David A.",9780128017333,koha
Exergy: ,"Dinçer, İbrahim,",9780080970899,koha
Instrumentos y mediciones eléctricas /,"Sobrevila, Marcelo Antonio",9789505532377,koha
Lean thinking: ,"Womack, James P.",9788498750218,koha
Linux for embedded and real-time applications /,"Abbott, Doug,",9780128112779,koha
Bases para una política pública de agua y saneamiento en Argentina /,"Bereciartua, Pablo José ",9789874291882,koha
Agent-based and individual-based modeling: ,"Railsback, Steven F.",9780691136745,koha
Python for bioinformatics /,"Bassi, Sebastián",9781138035263,koha
Encyclopedia of electronic components: ,"Platt, Charles",9781449334314,koha
Modelos de demanda de transporte / ,"Ortúzar S., Juan de Dios",9789587780215,koha
Osteoporosis:,"Bartl, R.",9788478855179,koha
Introducción a la ergonomía :,"Montmollin, Maurice de,",9789681849320,koha
Sistemas embebidos en FPGA / ,"Cayssials, Ricardo",9789701704042,koha
Inteligencia artificial con aplicaciones a la ingeniería /,"Ponce Cruz, Pedro",9786077854838,koha
Applied predictive modeling /,"Kuhn, Max.",9781461468486,koha
El hueso en las enfermedades endocrinas y nutricionales /,"Gómez Sáez, José Manuel",9788490225035,koha
Dirección de la producción / ,"Russo, Alfredo",9789871650392,koha
"Teoría general de la ocupación, el interés y el dinero /","Keynes, John Maynard,",9789681668419,koha
Científicos en el ring: ,"Nepote, Juan",9789876291903,koha
Métodos numéricos para ingenieros / ,"Chapra, Steven C., ",9786071512949,koha
"¡Auxilio, el bebé no llega: ","Jadur, Silvia",9789876295420,koha
Ciencia en el aire: ,"Ruiz, Diego Manuel",9789876292429,koha
Introducción a la biología celular.,"Alberts, Bruce",9786077743187,koha
Los Beatles y la ciencia: ,"Blanco, Ernesto",9789876295079,koha
Cálculo :,"Rogawski, Jon",9788429151749,koha
Fundamentos de química orgánica.,"Yurkanis Bruice, Paula",9788483229798,koha
Flujo de fluidos e intercambio de calor /,"Levenspiel, Octave",9788429179682,koha
Arquitectura de computadoras /,"Quiroga, Patricia",9789871609062,koha
Biología.,"Curtis, Helena",9789500603751,koha
Biología.,"Curtis, Helena",9789500603515,koha
Biología.,"Curtis, Helena",9789687157139,koha
Algebra I.,"Rojo, Armando O.",9789500252041,koha
Lecciones de álgebra y geometría analítica :,"Masco de Nasini, Ada E.",9789500182003,koha
Elementos de cálculo diferencial e integral: cálculo diferencial.,"Sadosky, Manuel",9789505530014,koha
Elementos de cálculo diferencial e integral: cálculo integral.,"Sadosky, Manuel",9789500530033,koha
Elementos de cálculo diferencial e integral: cálculo integral.,"Sadosky, Manuel",9789505530205,koha
Estructuras algebraicas III [grupos finitos].,"O'Brien, Horacio Hernán",9780827012981,koha
Algebra lineal.,"Villamayor, Orlando E.",9780827014138,koha
Funciones de variable compleja.,"Nieto, José I.",9780827010307,koha
Introducción a la computación.,"Michelow, Jaime",9780827010673,koha
Estructuras algebraicas IV [formas cuadráticas].,"Piscoya H., Francisco M.",9780827013599,koha
Estructuras algebraicas VII [estructuras de álgebra].,"Micali, Artibano",9780827018426,koha
Aritmética elemental.,"Gentile, Enzo R.",9780827022270,koha
Algebra elemental.,"Nachbin, Leopoldo",9780827023789,koha
Análisis multivariado:método de componentes principales.,"Pla, Laura E.",9780827024519,koha
Computadoras y procesamiento de datos.,"Villanueva-Lara, Julio E.",9780827026377,koha
Cálculo diferencial e integral.,"Ayres, Frank",9788476155608,koha
Cálculo diferencial e integral.,"Purcell, Edwin J.",9789688801420,koha
Cálculo diferencial e integral.,"Purcell, Edwin J.",9789688803714,koha
Cálculo 1.,"Winitzky de Spinadel, Vera",9789509088078,koha
Calculus :,"Salas, Saturnino L.",9788429151480,koha
Calculus :,"Salas, Saturnino L.",9788429151473,koha
Calculus: :,"Apostol, Tom M.",9788429150032,koha
Introducción al análisis matemático: :,"Rabuffetti, Hebe T.",9789500252034,koha
Introducción al análisis matemático: :,"Rabuffetti, Hebe T.",9789500252379,koha
Introducción al análisis matemático: :,"Rabuffetti, Hebe T.",9789500252812,koha
Algebra lineal.,"Hoffman, Kenneth",9789688800096,koha
Análisis matemático.,"Apostol, Tom M.",9788429150049,koha
Manual de análisis matemático: :,"Repetto, Celina",9789505371433,koha
Manual de análisis matemático: :,"Repetto, Celina",9789505371426,koha
Matemáticas avanzadas para estudiantes de ingeniería /,"Kaplan, Wilfred",9789688580417,koha
Cálculo avanzado.,"Kaplan, Wilfred",9789682603938,koha
Teoría y problemas de análisis de Fourier.,"Spiegel, Murray R.",9789684513167,koha
Teoría y problemas de transformadas de Laplace.,"Spiegel, Murray R.",9789684510692,koha
Teoría y problemas de variable compleja.,"Spiegel, Murray R.",9789684511033,koha
"Funciones de variable compleja, cálculo operacional y teoría de la estabilidad.","Krasnov, M. L.",9788429150858,koha
Fundamentos de álgebra lineal y aplicaciones.,"Florey, Francis G.",9780133449600,koha
Algebra lineal aplicada.,"Noble, Ben",9789688801734,koha
Ecuaciones diferenciales en derivadas parciales: :,"Weinberger, H.F.",9788429151602,koha
Matemáticas superiores para ingeniería.,"Wylie, C. Ray",9789686046847,koha
Matemáticas para biólogos /,"Hadeler, K. P.",9788429118285,koha
Mathematics for dynamic modeling.,"Beltrami, Edward",9780120855551,koha
New directions in applied mathematics.,"Hilton, Peter J.",9783540906049,koha
An introduction to mathematical modeling.,"Bender, Edward A.",9780471029519,koha
Foundations of mathematical biology :,"Rosen, Robert",9780125972017,koha
Foundations of mathematical biology :,"Rosen, Robert",9780125972024,koha
Foundations of mathematical biology :,"Rosen, Robert",9780125972031,koha
Modelling with differential equations.,"Borrie, M. S.",9780853122869,koha
Computer modeling of complex biological systems.,"Iyengar, S. Sitharama",9780849352089,koha
Teoría y problemas de probabilidad y estadística.,"Spiegel, Murray R.",9789684511026,koha
Transformadas de Laplace para ingenieros en electrónica.,"Holbrook, James G.",9789681805524,koha
Cálculo numérico: :,"Carnahan, Rice",9788472070134,koha
Teoría y problemas de ecuaciones diferenciales modernas: :,"Bronson, Richard",9789684513181,koha
Probabilidad y aplicaciones estadísticas.,"Meyer, Paul L.",9789686630275,koha
Ejercicios de bioestadística.,"Cuadras, C. M.",9788460007524,koha
The mathematics of computerized tomography.,"Natterer, Frank",9780471909590,koha
Modeling dynamic phenomena in molecular and cellular biology.,"Segel, Lee A.",9780521274777,koha
Introducción a la estadística matemática.,"Kreyszig, Erwin",9789681807290,koha
Cálculo vectorial.,"Marsden, Jerrold E.",9780201629354,koha
Mathematical biology.,"Murray, J. D.",9780387572048,koha
Multivariate statistics: :,"Eaton, Morris L.",9780471027768,koha
The fractal geometry of nature.,"Mandelbrot, Benoit B.",9780716711865,koha
The beauty of fractals: :,"Peitgen, H. O.",9780387158518,koha
Pensar matemáticamente.,"Mason, John",9788433551399,koha
Introductions to applied mathematics.,"Strang, Gilbert",9780961408800,koha
Algebra.,"Ress, Paul K.",9789684229396,koha
Una introducción algebraica a la lógica matemática.,"Barnes, Donald W.",9788485257133,koha
Nomography and empirical equations.,"Johnson, Lee H.",9780882755519,koha
Algebra lineal y sus aplicaciones.,"Strang, Gilbert",9780201072655,koha
Vectores y tensores.,"Hinchey, Fred A.",9789681801267,koha
"Manifolds, tensor analysis, and applications.","Abraham, R.",9783540967903,koha
Calculus and analytic geometry.,"Riddle, Douglas F.",9780534003012,koha
Calculus and analytic geometry.,"Edwards, C. H.",9780131116092,koha
Variable compleja y aplicaciones.,"Churchill, Ruel V.",9789684519954,koha
Variable compleja y aplicaciones.,"Churchill, Ruel V.",9788476157305,koha
The Fourier integral and its applications.,"Papoulis, Athanasios",9780070484474,koha
Ordinary differential equations.,"Arnol´d, Vladimir I.",9783540548133,koha
Nonlinear ordinary differential equations.,"Jordán, D. W.",9780198596561,koha
Introduction to applied nonlinear dynamical systems and chaos.,"Wiggins, Stephen",9783540970033,koha
Ecuaciones diferenciales elementales: :,"Edwards, C. H.",9789688804148,koha
Modelling and control in biomedical systems: :,"Cobelli, Claudio",9780080357324,koha
Algebra lineal.,"Grossman, Stanley I.",9789684229846,koha
Introduction to stochastic models.,"Goodman, Roe",9780805360110,koha
Introducción a la bioestadística.,"Sokal, Robert R.",9788429118629,koha
Statiscal functions and formulas :,"Myers, Buddy L.",9780898742862,koha
Robust statistics.,"Huber, Peter J.",9780471418054,koha
The mathematical modeling of metabolic and endocrine systems: :,"Cobelli, Claudio",9780471086604,koha
Optimisation methods in electronics and communications :,"Cattermole, Kenneth W.",9780471807650,koha
Problems of randomness in communication engineering :,"Cattermole, Kenneth W.",9780471807636,koha
Mecánica computacional :,"Idelsohn, Sergio R.",9789502301730,koha
Señales y sistemas lineales.,"Gabel, Robert A.",9789681805401,koha
Elementary stability and bifurcation theory.,"Iooss, Gérard",9780387970684,koha
The mathematics of diffusion.,"Crank, J.",9780198534112,koha
Mecánica computacional :,"Idelsohn, Sergio R.",9789502301747,koha
An introduction to Lebesgue integration and Fourier series.,"Wilcox, Howard",9780882756141,koha
Mathematical methods in medicine: :,"Ingram, D.",9780471900450,koha
Mathematical methods in medicine: :,"Ingram, D.",9780471900467,koha
Atlas de histología normal.,"Di Fiore, Mariano S.H.",9789500200363,koha
Anatomía esencial :,"Lumley, J.S.P.",9788434519084,koha
Cálculo superior.,"Spiegel, Murray R.",9789701000656,koha
Anatomía vegetal aplicada.,"Cutler, D.F.",9789509350052,koha
Luz y materia viviente :,"Clayton, Roderick K.",9788429118063,koha
Luz y materia viviente:guía para el estudio de la fotobiología :,"Clayton, Roderick K.",9788429118070,koha
El cuerpo humano :,"Laín Entralgo, Pedro",9788423965434,koha
Nonlinear differential equations and dynamical systems.,"Verhulst, Ferdinand",9780387506289,koha
Genética general.,"Srb, Adrian M.",9788428201575,koha
Citogenética humana: fundamentos y aplicaciones clínicas.,"Salamanca Gomez, Fabio",9789687157375,koha
Teoría y problemas de genética.,"Stansfield, William D.",9789684515178,koha
Biología celular.,"Karp, Gerald",9789684518551,koha
Evolución.,"Dobzhansky, Theodosius",9788428205689,koha
Molecular cell biology.,"Darnell, James",9780716719816,koha
Biología molecular de la célula.,"Alberts, Bruce",9788428207522,koha
Actualizaciones en biología.,"Castro, Roberto J.",9789502300597,koha
Actualizaciones en biología.,"Castro, Roberto J.",9789502305912,koha
Biología celular y molecular.,"De Robertis, E. D. P.",9789500200271,koha
Fundamentos de biología celular y molecular.,"De Robertis, E. D. P.",9789500200950,koha
Biología celular y molecular.,"De Robertis, E. D. P.",9789500202152,koha
Fundamentos de biología celular y molecular.,"De Robertis, E. D. P.",9789500202879,koha
Biología celular y molecular :,"De Robertis, Eduardo M. F.",9789500203647,koha
Biología molecular de la célula.,"Alberts, Bruce",9788428210119,koha
Endocrinología molecular.,"Calandra, Ricardo S.",9789500201896,koha
Anatomía humana: :,"Latarjet, Michel H.",9789687157313,koha
Anatomía humana: :,"Latarjet, Michel H.",9789500613286,koha
Anatomía humana: :,"Latarjet, Michel H.",9789500613293,koha
Anatomía humana: :,"Latarjet, Michel H.",9789687157320,koha
Anatomía :,"Moore, Keith L.",9788485320585,koha
Anatomía humana :,"Latarjet, Michel H.",9789500613507,koha
Anatomía humana :,"Latarjet, Michel H.",9789500613514,koha
Histología :,"Ross, Michael H.",9789500618526,koha
Histología :,"Ross, Michael H.",9789500618571,koha
Sobotta atlas de anatomía humana :,"Sobotta, Johannes",9789500619608,koha
Sobotta atlas de anatomía humana :,"Sobotta, Johannes",9789500619615,koha
Sobotta atlas de anatomía humana :,"Sobotta, Johannes",9788479030025,koha
Sobotta atlas de anatomía humana :,"Sobotta, Johannes",9788479030032,koha
Anatomía :,"Bouchet, Alain",9789500601467,koha
Anatomía :,"Bouchet, Alain",9789500601498,koha
Anatomía :,"Bouchet, Alain",9789500601474,koha
Anatomía :,"Bouchet, Alain",9789500601481,koha
Anatomía :,"Bouchet, Alain",9789500601504,koha
Anatomía :,"Bouchet, Alain",9789500601511,koha
Biología molecular de la célula.,"Alberts, Bruce",9788428208963,koha
Histología.,"Geneser, Finn",9789500608428,koha
Atlas color de histología.,"Geneser, Finn",9789500608480,koha
Manual de técnicas histológicas.,"Estrada Flores, Elvira",9789684630109,koha
La taxonomía y la revolución en las ciencias biológicas.,"De la Sota, Elias R.",9780827015388,koha
Principios básicos para la enseñanza de la biología.,"Frota-Pessoa, Oswaldo",9780827060555,koha
A vida da célula.,"Basile, Renato",9780827011410,koha
Introducción a la ecología del bentos marino.,"Vegas Vélez, Manuel",9780827011489,koha
Bacteriófagos.,"Espejo T., Romilio",9780827013018,koha
Biogeografía de América Latina.,"Cabrera, Angel L.",9780827012332,koha
Relación hospedante-parasito mecanismo de patogenicidad de los microorganismos.,"Rodriguez Leiva, Manuel",9780827013223,koha
Metodología para el estudio de la vegetación.,"Matteucci, Silvia D.",9780827016118,koha
Los sistemas ecológicos y la humanidad.,"Lugo, Ariel E.",9780827016903,koha
A germinaçao das sementes.,"Gouvêa Labouriau, Luiz",9780827017665,koha
Introducción a la farmacocinética.,"Cid Cárcamo, Edison",9780827016477,koha
Introducción a la teoría y práctica de la taxonomia numerica.,"Crisci, Jorge Victor",9780827017177,koha
¿Qué es la diferenciación celular?.,"García, Roberto B.",9780827017320,koha
Etología: el estudio biológico del compartamiento animal.,"Vaz-Ferreira, Raúl",9780827020160,koha
Fotosíntesis.,"Andreo, Carlos S.",9780827020733,koha
Pesca y piscicultura en aguas continentales de América Latina.,"Bonetto, Argentino A.",9780827022522,koha
Fundamentos de genética biométrica. :,"Mariotti, Jorge A.",9780827023772,koha
El plancton de las aguas continentales.,"González de Infante, Aída",9780827027367,koha
Ingeniería genética y biotecnología.,"Balbás, Paulina",9780827028364,koha
Microorganismos.,"Gutiérrez-Vázquez, J. M.",9780827060654,koha
Los virus.,"Pizarro-Suárez, Enriqueta",9780827011694,koha
Neuroanatomía clínica.,"Snell, Richard S.",9789500619547,koha
Química general.,"Whitten, Kenneth W.",9789684229853,koha
Química general superior.,"Masterton, William L.",9788476053690,koha
Química general superior.,"Masterton, William L.",9789684225060,koha
Química general.,"Longo, Frederick",9789684511866,koha
Química general moderna: :,"Babor, Joseph A.",9788471029973,koha
Química.,"Sienko, Michell J.",9788403201439,koha
Química.,"Sienko, Michell J.",9788403202573,koha
Química general.,"Garric, M.",9788429171778,koha
Química general.,"Pauling, Linus",9788403202528,koha
Principios básicos de química.,"Gray, Harry B.",9788429172003,koha
Química: :,"Mahan, Bruce M.",9780201644197,koha
Química: :,"Sienko, Michell J.",9788403202078,koha
Physical chemistry: :,"Eisenberg, David",9780805324020,koha
Fisicoquímica para biólogos :,"Morris, J. Gareth",9788429118025,koha
Bioenergética :,"Nicholls, David G.",9788429179651,koha
Resonancia magnetica nuclear de hidrógeno-1 y de carbono-13.,"Joseph-Nathan, Pedro",9780827015197,koha
Cromatografía líquida de alta presión.,"McNair, Harold M.",9780827012295,koha
"Actividad óptica, dispersión rotatoria óptica y dicroismo circular en química orgánica.","Crabbé, Pierre",9780827014183,koha
Espectroscopía  infrarroja.,"Morcillo Rubio, Jesús",9780827014190,koha
Polarografía.,"Arvía, Alejandro Jorge",9780827025868,koha
Introducción a la estereoquímica.,"Garbarino, Juan A.",9780827019829,koha
Introducción al espectrometría de masa de sustancias orgánicas.,"Gottlieb, Otto Richard",9780827064058,koha
Elementos de catálisis heterogenea.,"Droguett, Sergio E.",9780827018235,koha
Introducción a la electrocatálisis.,"Arvía, Alejandro Jorge.",9780827017566,koha
Química de sólidos.,"Bazán, Julio César",9780827019973,koha
Introducción al estudio de los productos naturales.,"Gros, Eduardo G.",9780827022263,koha
Introducción a la espectroscopía Raman.,"Bermejo, Dionisio",9780827028067,koha
Hidratos de carbono.,"Lederkremer, Rosa M. de",9780827028074,koha
Métodos experimentales de laboratorio en química orgánica.,"Pomilio, Alicia B.",9780827028081,koha
Wavelet: :,"Chui, Charles K.",9780121745752,koha
Química orgánica.,"Wade, L. G.",9789688802458,koha
Química inorgánica moderna.,"Liptrot, Geoffrey F.",9789682604744,koha
Química biológica.,"Blanco, Antonio",9789500203357,koha
CRC Handbook of chemistry and physics.,"Weast, Robert C.",9780849307409,koha
Física: :,"Alonso, Marcelo",9780201002799,koha
Química orgánica moderna :,"Wu, C.N.",9789682604232,koha
Química orgánica moderna :,"Wu, C.N.",9789682604263,koha
Química orgánica :,"Allinger, Norman L.",9788429170160,koha
Química orgánica :,"Allinger, Norman L.",9788429170177,koha
Química orgánica.,"Morrison, Robert Thornton",9780201629323,koha
Bioquímica.,"Stryer, Lubert",9788429174946,koha
Bioquímica :,"Lehninger, Albert L.",9788428202114,koha
Fundamentos de bioquímica.,"Suttie, John W.",9789682505881,koha
Fundamentos de física.,"Semat, Henry",9789682504839,koha
Química orgánica.,"Morrison, Robert Thornton",9789688580431,koha
Física para estudiantes de ciencias e ingeniería :,"Bueche, Frederick J.",9789686046380,koha
Física: :,"Gettys, W. Edward",9788476156353,koha
Física.,"Sears, Francis W.",9788403202603,koha
Física universitaria.,"Sears, Francis W.",9780201640137,koha
Física :,"Serway, Raymond A.",9789701012963,koha
Física: :,"Resnick, Robert",9789682601675,koha
Física: :,"Resnick, Robert",9789682612305,koha
Ondas.,"Bressan, Oscar J.",9780827010437,koha
"Experimento,razonamiento y creación en Física.","Cernuschi, Félix",9780827014176,koha
Fundamentos de cristalografía física.,"Rodríguez Lara, Jaime",9780827023161,koha
La estructura electrónica de los sólidos.,"Falicov, Leopoldo M.",9780827010444,koha
Teoría estadística de fluídos simples en equilibrio.,"Rodríguez, Antonio Eduardo",9780827026964,koha
Semiconductores.,"Bemski, George",9780827010680,koha
Aceleradores de partículas.,"Alba Andrade, Fernando",9780827015395,koha
Aplicaçoes da teoria de grupos na espectroscopia de raman e do infravermelho.,"Bristoti, Anildo",9780827011267,koha
Astrofísica.,"Jaschek, Carlos",9780827061903,koha
Electromagnetic wave theory.,"Kong, Jin Au",9780471522140,koha
Light scattering in magnetic solids.,"Cottam, Michael G.",9780471817017,koha
Impedancia acústica.,"Kohen, Elizabeth Mirna",9789500612258,koha
Fundamentals of optics.,"Jenkins, Francis A.",9780070323308,koha
Introduction to moderns optics.,"Fowles, Grant R.",9780030894046,koha
Holographie.,"Françon, M.",9782225811685,koha
Optica.,"Hecht, Eugene",9780201028393,koha
Optica.,"Galloni, Ernesto E.",9789509088481,koha
Teoría y problemas de electromagnetismo.,"Edminister, Joseph A.",9789684510043,koha
Fundamentos de electricidad y magnetismo.,"Kip, Arthur F.",9789684510951,koha
Física :,"Alonso, Marcelo",9789686630305,koha
Electricidad y magnetismo.,"Purcell, Edward M.",9788429143195,koha
Ondas.,"Crawford, Frank S.",9788429140231,koha
Física general.,"Schaum, Daniel",9789684229273,koha
Física: :,"Alonso, Marcelo",9789686630022,koha
Física: :,"Alonso, Marcelo",9780201002805,koha
Física: :,"Alonso, Marcelo",9789686630039,koha
Física: :,"Alonso, Marcelo",9780201002812,koha
Física: :,"Halliday, David",9789682603242,koha
Física: :,"Halliday, David",9789682612558,koha
Física.,"Tipler, Paul A.",9788429141849,koha
Física: :,"Tipler, Paul A.",9788429143577,koha
Física: :,"Serway, Raymond A.",9789701012970,koha
Física general.,"Bueche, Frederick J.",9789684227958,koha
Física moderna.,"Tipler, Paul A.",9788429141863,koha
Física y biofísica: radiaciones.,"Dutreix, J.",9788472880337,koha
Módulos de física: :,"Carpio, Agustín",9789506980276,koha
Módulos de física :,"Carpio, Agustín",9789506980337,koha
Mecánica de fluídos.,"Shames, Irving H.",9789586002462,koha
Mecánica de fluídos.,"White, Frank M.",9789684515819,koha
Mecánica de los fluídos.,"Streeter, Victor L.",9789684518414,koha
Mecánica de fluidos y máquinas hidráulicas.,"Mataix, Claudio",9789686034295,koha
Introducción a la mecánica de los fluidos.,"John, James E. A.",9780134876290,koha
Temas básicos de química.,"Morcillo, J.",9788420503820,koha
Curso de termodinámica :,"Facorro Ruiz, Lorenzo A.",9789509000049,koha
Problemas de termodinámica.,Diez García,9789509088115,koha
Termodinámica.,"Faires, Virgil Moring",9789681839437,koha
Elements of classical thermodynamics :,"Pippard, A.B.",9780521091015,koha
Termodinámica técnica.,"García, Carlos A.",9789505530106,koha
Heat transfer.,"Holman, Jack P.",9780079093882,koha
Elements of thermodynamics and heat transfer.,"Obert, Edward F.",9780898740059,koha
Basic heat transfer.,"Ösisik, M. Necati",9780898749427,koha
Biofísica.,"Frumento, Antonio Sadi",9788481740738,koha
Calor y termodinámica.,"Zemansky, Mark W.",9788403201637,koha
Mechanical engineering thermodynamics: :,"Plint, M.A.",9780852642764,koha
Biofísica.,"Cicardo, Vicente H.",9789505051618,koha
Física para las ciencias de la vida.,"Cromer, Alan H.",9788429118087,koha
El caballo esférico :,"Grünfeld, Verónica",9789509129504,koha
Biomécanique circulatoire.,"Comolet, Raymond",9782225802782,koha
The fluid mechanics of large blood vessels.,"Pedley, T.J.",9780521226264,koha
Biodynamics :,"Fung, Y.C.",9780387908670,koha
Nonequilibrium thermodynamics in biophysics.,"Katchalsky, A.",9780674625501,koha
CRC Handbook of medical physics: :,"Waggener, Robert G.",9780849305269,koha
CRC Handbook of medical physics: :,"Waggener, Robert G.",9780849305283,koha
Best y Taylor Bases fisiológicas de la práctica médica.,"West, John B.",9789500601894,koha
Best y Taylor Bases fisiológicas de la práctica médica.,"West, John B.",9789500602136,koha
Fisiología.,"Selkurt, Ewald E.",9789500201889,koha
Fisiología humana.,"Houssay, Bernardo A.",9789500200622,koha
