title,author,isbn,origen
The molecular biology of cadherins.,"Roy, Frans van",9780123943118.0,koha
Feature extraction and image processing for computer vision.,"Nixon, Mark S.",9780123965493.0,koha_consulta
Clinical engineering :,"Taktak, Azzam",9780123969613.0,koha_consulta
Circulatory system dynamics.,"Noordergraaf, Abraham",9780125209502.0,koha_consulta
Biomaterials science :,"Ratner, Buddy D.",9780125824637.0,koha
Foundations of mathematical biology :,"Rosen, Robert",9780125972017.0,koha
Foundations of mathematical biology :,"Rosen, Robert",9780125972024.0,koha
Foundations of mathematical biology :,"Rosen, Robert",9780125972031.0,koha
Electrical safety in health care facilities.,"Roth, Herbert H.",9780125990509.0,koha_consulta
Biomedical instruments :,"Welkowitz, Walter",9780127441511.0,koha
Emission tomography :,"Wernick, Miles N.",9780127444826.0,koha
Computer organization and design: ,"Patterson, David A.",9780128017333.0,koha
Linux for embedded and real-time applications /,"Abbott, Doug,",9780128112779.0,koha
Statistical techniques for transportation engineering,"Molugaram, Kumar",9780128115558.0,koha_consulta
Theory of modeling and simulation :,"Zeigler, Bernard P.",9780128133705.0,koha_consulta
Digital image processing :,"Gonzalez, Rafael C.",9780130085191.0,koha_consulta
Biomaterials the intersection of biology and materials science.,"Temenoff, J. S.",9780130097101.0,koha_consulta
Introduction to biomedical equipment technology.,"Carr, Joseph J.",9780130104922.0,koha_consulta
Analog and digital filters:design and realization.,"Lam, Harry F-Y.",9780130327550.0,koha_consulta
Analog-digital conversion handbook.,"Sheingold, Daniel H.",9780130328489.0,koha
Applied clinical engineering.,"Feinberg, Barry N.",9780130394880.0,koha
Applied numerical methods with software.,"Nakamura, Shoichiro",9780130433169.0,koha
Atrial natriuretic hormones.,"Vesely, David L.",9780130505842.0,koha
Virtual bio-instrumentation :,"Olansen, Jon B.",9780130652164.0,koha_consulta
Medical imaging signals and systems.,"Prince, Jerry L.",9780130653536.0,koha
Bioengineering :,"Bahill, A. Terry",9780130763808.0,koha
Bioingineering :,"Bahill, A. Terry",9780130763808.0,koha
Biomedical instrumentation and measurements.,"Cromwell, Leslie",9780130764485.0,koha_consulta
Signal processing first.,"McClellan, James H.",9780130909992.0,koha_consulta
Calculus and analytic geometry.,"Edwards, C. H.",9780131116092.0,koha
Chemical process control :,"Stephanopoulos, George",9780131286290.0,koha
Digital image processing.,"Gonzalez, Rafael C.",9780131687288.0,koha_consulta
Data types and data structures.,"Martin, Johannes J.",9780131959835.0,koha
Discrete-time signal processing /,"Oppenheim, Alan V.",9780131988422.0,koha_consulta
Design of microcomputer-based medical instrumentation.,"Tompkins, Willis J.",9780132012447.0,koha
Digital signal processing in VLSI.,"Higgins, Richard J.",9780132128872.0,koha_consulta
Digital signal processing.,"Oppenheim, Alan V.",9780132146357.0,koha
Digital signal processing laboratory using the ADSP-2101 microcomputer.,"Ingle, Vinay K.",9780132181815.0,koha_consulta
Digital signal processing applications using the ADSP-2100 family :,"Mar, David",9780132197267.0,koha_consulta
Optics and vision.,"Pedrotti, Leno S.",9780132422239.0,koha_consulta
Biomedical equipment :,"Carr, Joseph J.",9780132575775.0,koha
Neural networks :,"Haykin, Simon",9780132733502.0,koha
The fast Fourier transform and its applications.,"Brigham, E. Oran",9780133075052.0,koha_consulta
Fundamentals of complex analysis: :,"Saff, E. B.",9780133321487.0,koha_consulta
Fundamentos de álgebra lineal y aplicaciones.,"Florey, Francis G.",9780133449600.0,koha_consulta
Fundamentos de álgebra lineal y aplicaciones.,"Florey, Francis G.",9780133449600.0,koha
Fundamentals of statistical signal processing :,"Kay, Steven M.",9780133457117.0,koha
Feedback control of dynamics systems.,"Franklin, Gene F.",9780133496598.0,koha
